City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
374,Songling,CN,31.1933,120.7176,82.38,94,99,4.07,light rain
375,Ponta Do Sol,PT,32.6667,-17.1,70.43,70,19,9.78,few clouds
376,Fare,PF,-16.7,-151.0167,77.49,63,100,15.64,overcast clouds
377,Bahia Blanca,AR,-38.7196,-62.2724,47.44,57,3,7.63,clear sky
378,Millinocket,US,45.6573,-68.7098,72.36,43,20,8.05,few clouds
379,Broken Hill,AU,-31.95,141.4333,49.71,93,90,5.75,overcast clouds
380,Ponorogo,ID,-7.8685,111.462,72.93,91,80,4.54,broken clouds
381,Cayenne,GF,4.9333,-52.3333,84.24,78,0,1.01,clear sky
382,Tecoanapa,MX,16.5167,-98.75,86.56,67,21,9.84,few clouds
383,Saint-Georges,GD,12.0564,-61.7485,85.68,79,20,23.02,few clouds
384,Mesquite,US,32.7668,-96.5992,102.88,42,40,5.99,scattered clouds
385,Yeniseysk,RU,58.4497,92.1703,51.37,72,62,2.95,broken clouds
386,Upata,VE,8.0086,-62.3989,75.65,85,52,1.79,broken clouds
387,Dalianwan,CN,39.0286,121.695,71.64,88,75,11.18,thunderstorm with light rain
388,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,50.59,100,75,4.47,light rain
389,Vidim,RU,56.4088,103.1106,60.01,68,100,2.86,overcast clouds
390,Salalah,OM,17.0151,54.0924,77.09,94,90,6.91,drizzle
391,Marzuq,YE,14.4,46.4667,77.02,67,28,5.97,scattered clouds
392,Carnot,CF,4.9409,15.8665,70.65,96,99,3.22,overcast clouds
393,Nizhniy Baskunchak,RU,48.2198,46.8311,80.64,25,3,1.12,clear sky
394,Nosy Varika,MG,-20.5833,48.5333,63.14,85,32,4.97,light rain
395,Loviisa,FI,60.4566,26.2251,62.46,94,21,8.57,few clouds
396,Quatre Cocos,MU,-20.2078,57.7625,70.09,71,3,14.94,clear sky
397,Makakilo City,US,21.3469,-158.0858,86.32,54,40,18.41,scattered clouds
398,Yar-Sale,RU,66.8333,70.8333,44.89,89,16,8.12,few clouds
399,Humaita,BR,-7.5061,-63.0208,82.54,40,9,1.28,clear sky
400,Port Said,EG,31.2565,32.2841,82.38,78,0,3.44,clear sky
401,Yuzhou,CN,34.1628,113.4639,82.67,87,6,5.61,clear sky
