City_ID,City,Country,Max Temp,Date,Lat,Lng,Hotel Name
57,Safita,SY,82.38,2021-07-25 15:21:04,34.8205,36.1153,Safita Cham Hotel
61,Lorengau,PG,79.29,2021-07-25 15:21:05,-2.0226,147.2712,Lorengau Harbourside Hotel
63,Jamestown,US,79.92,2021-07-25 15:17:46,42.097,-79.2353,Hampton Inn & Suites Jamestown
66,Mabaruma,GY,79.57,2021-07-25 15:16:09,8.2,-59.7833,Monty Brooms Guest House
67,Hithadhoo,MV,80.6,2021-07-25 15:21:07,-0.6,73.0833,Scoop Guest House
68,Bengkulu,ID,77.7,2021-07-25 15:17:39,-3.8004,102.2655,Grage Hotel Bengkulu
69,Butaritari,KI,81.88,2021-07-25 15:17:41,3.0707,172.7902,Isles Sunset Lodge
70,Dugulubgey,RU,78.6,2021-07-25 15:21:07,43.6625,43.5369,Baksan Inn
71,Linkou,CN,75.65,2021-07-25 15:21:08,45.3,130.2833,Yueliang Resort
72,Salinopolis,BR,85.62,2021-07-25 15:21:08,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
77,Saldanha,ZA,71.65,2021-07-25 15:21:10,-33.0117,17.9442,Blue Bay Lodge
81,Santo Antonio Do Ica,BR,88.27,2021-07-25 15:21:11,-3.1022,-67.9397,HOTEL AMAZON WAY
